,Ticker,Date,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
,,,AAPL,GOOGL,MSFT,AAPL,GOOGL,MSFT,AAPL,GOOGL,MSFT,AAPL,GOOGL,MSFT,AAPL,GOOGL,MSFT,AAPL,GOOGL,MSFT
0,MSFT,2024-01-22,193.88999938964844,145.99000549316406,396.510009765625,193.88999938964844,145.99000549316406,396.510009765625,195.3300018310547,148.38999938964844,400.6199951171875,192.25999450683594,145.83999633789062,393.5899963378906,192.3000030517578,147.10000610351562,400.0199890136719,60133900,32200400,27016900
1,MSFT,2024-01-23,195.17999267578125,147.0399932861328,398.8999938964844,195.17999267578125,147.0399932861328,398.8999938964844,195.75,147.17999267578125,399.3800048828125,193.8300018310547,145.5,393.92999267578125,195.02000427246094,145.88999938964844,395.75,42355600,21636100,20525900
2,MSFT,2024-01-24,194.5,148.6999969482422,402.55999755859375,194.5,148.6999969482422,402.55999755859375,196.3800048828125,149.85000610351562,405.6300048828125,194.33999633789062,148.10000610351562,400.45001220703125,195.4199981689453,148.5399932861328,401.5400085449219,53631300,25233500,24867000
3,MSFT,2024-01-25,194.1699981689453,151.8699951171875,404.8699951171875,194.1699981689453,151.8699951171875,404.8699951171875,196.27000427246094,153.0500030517578,407.010009765625,193.11000061035156,149.5399932861328,402.5299987792969,195.22000122070312,150.07000732421875,404.32000732421875,54822100,29149100,21021200
4,MSFT,2024-01-26,192.4199981689453,152.19000244140625,403.92999267578125,192.4199981689453,152.19000244140625,403.92999267578125,194.75999450683594,152.5399932861328,406.1700134277344,191.94000244140625,151.00999450683594,402.42999267578125,194.27000427246094,151.10000610351562,404.3699951171875,44553400,26101000,17786700
5,GOOGL,2024-01-22,193.88999938964844,145.99000549316406,396.510009765625,193.88999938964844,145.99000549316406,396.510009765625,195.3300018310547,148.38999938964844,400.6199951171875,192.25999450683594,145.83999633789062,393.5899963378906,192.3000030517578,147.10000610351562,400.0199890136719,60133900,32200400,27016900
6,GOOGL,2024-01-23,195.17999267578125,147.0399932861328,398.8999938964844,195.17999267578125,147.0399932861328,398.8999938964844,195.75,147.17999267578125,399.3800048828125,193.8300018310547,145.5,393.92999267578125,195.02000427246094,145.88999938964844,395.75,42355600,21636100,20525900
7,GOOGL,2024-01-24,194.5,148.6999969482422,402.55999755859375,194.5,148.6999969482422,402.55999755859375,196.3800048828125,149.85000610351562,405.6300048828125,194.33999633789062,148.10000610351562,400.45001220703125,195.4199981689453,148.5399932861328,401.5400085449219,53631300,25233500,24867000
8,GOOGL,2024-01-25,194.1699981689453,151.8699951171875,404.8699951171875,194.1699981689453,151.8699951171875,404.8699951171875,196.27000427246094,153.0500030517578,407.010009765625,193.11000061035156,149.5399932861328,402.5299987792969,195.22000122070312,150.07000732421875,404.32000732421875,54822100,29149100,21021200
9,GOOGL,2024-01-26,192.4199981689453,152.19000244140625,403.92999267578125,192.4199981689453,152.19000244140625,403.92999267578125,194.75999450683594,152.5399932861328,406.1700134277344,191.94000244140625,151.00999450683594,402.42999267578125,194.27000427246094,151.10000610351562,404.3699951171875,44553400,26101000,17786700
10,AAPL,2024-01-22,193.88999938964844,145.99000549316406,396.510009765625,193.88999938964844,145.99000549316406,396.510009765625,195.3300018310547,148.38999938964844,400.6199951171875,192.25999450683594,145.83999633789062,393.5899963378906,192.3000030517578,147.10000610351562,400.0199890136719,60133900,32200400,27016900
11,AAPL,2024-01-23,195.17999267578125,147.0399932861328,398.8999938964844,195.17999267578125,147.0399932861328,398.8999938964844,195.75,147.17999267578125,399.3800048828125,193.8300018310547,145.5,393.92999267578125,195.02000427246094,145.88999938964844,395.75,42355600,21636100,20525900
12,AAPL,2024-01-24,194.5,148.6999969482422,402.55999755859375,194.5,148.6999969482422,402.55999755859375,196.3800048828125,149.85000610351562,405.6300048828125,194.33999633789062,148.10000610351562,400.45001220703125,195.4199981689453,148.5399932861328,401.5400085449219,53631300,25233500,24867000
13,AAPL,2024-01-25,194.1699981689453,151.8699951171875,404.8699951171875,194.1699981689453,151.8699951171875,404.8699951171875,196.27000427246094,153.0500030517578,407.010009765625,193.11000061035156,149.5399932861328,402.5299987792969,195.22000122070312,150.07000732421875,404.32000732421875,54822100,29149100,21021200
14,AAPL,2024-01-26,192.4199981689453,152.19000244140625,403.92999267578125,192.4199981689453,152.19000244140625,403.92999267578125,194.75999450683594,152.5399932861328,406.1700134277344,191.94000244140625,151.00999450683594,402.42999267578125,194.27000427246094,151.10000610351562,404.3699951171875,44553400,26101000,17786700
